company,ticker,cik,gics_sector,form,file_date,period_ending,accession_number,file_id,file_type,filing_index_url,doc_url,classification,matched_snippet,exclusion_reason
Duke Energy,DUK,1326160,Utilities,8-K,2026-07-06,2026-07-02,0001104659-26-080476,0001104659-26-080476:tm2619723d1_ex99-1.htm,EX-99.1,https://www.sec.gov/Archives/edgar/data/1326160/000110465926080476/0001104659-26-080476-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000110465926080476/tm2619723d1_ex99-1.htm,utility_only,"nciliation, winter storm fern recovery, and the storm reserve request &middot; customer growth, related large load plant allocation, and large load interconnection facilities/ciac &middot; large load tariff &middot; depreciation study &middot; incentive compensation, rate case expenses, and other contested o&amp;m items &nbsp; additional information: &nbsp; &middot; the stipulation is subject to the rev",
Duke Energy,DUK,1326160,Utilities,8-K,2026-07-17,2026-07-17,0001104659-26-084653,0001104659-26-084653:tm2620766d1_ex99-1.htm,EX-99.1,https://www.sec.gov/Archives/edgar/data/1326160/000110465926084653/0001104659-26-084653-index.htm,https://www.sec.gov/Archives/edgar/data/1326160/000110465926084653/tm2620766d1_ex99-1.htm,utility_only,"ues related to the revenue requirement in the case as well as mechanics of the decoupling mechanism and esm &nbsp; &middot; the parties agree to support a separate proceeding to evaluate a large load tariff, with the intention to complete that proceeding prior to new rates going into effect &nbsp; &middot; dec agrees to a $10 million shareholder contribution to support bill assistance through the share",
EQT Corporation,EQT,33213,Energy,10-K,2025-02-19,2024-12-31,0000033213-25-000011,0000033213-25-000011:eqt-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/33213/000003321325000011/0000033213-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321325000011/eqt-20241231.htm,utility_only,"nue indefinitely into the future nor can we determine what effect, if any, future regulatory changes might have on our natural gas production activities. our ferc-regulated operations are pursuant to tariffs approved by the ferc that establish rates (other than market-based rate authority), cost recovery mechanisms and terms and conditions of service to customers. generally, the ferc's authority extends",
Eversource Energy,ES,72741,Utilities,8-K,2026-05-06,2026-05-06,0001104659-26-056267,0001104659-26-056267:tm2613673d1_ex99-3.htm,EX-99.3,https://www.sec.gov/Archives/edgar/data/72741/000110465926056267/0001104659-26-056267-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000110465926056267/tm2613673d1_ex99-3.htm,utility_only,n granted through may 2027 &#9642; motion for stay at the d.c. circuit court &#9642; section 205 filing for new base roe of 11.39% &#9642; rehearing request filed 10 iso - ne open access transmission tariff (roe) 11.14% 10.57% 9.57% 11.39% initial tariff (2006) ferc decision (2014) ferc decision (2026) section 205 filing (2026) 2006: ferc approves transmission tariff that established a base roe of 11.14,
Eversource Energy,ES,72741,Utilities,10-Q,2025-08-04,2025-06-30,0001628280-25-037369,0001628280-25-037369:es-20250630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/72741/000162828025037369/0001628280-25-037369-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000162828025037369/es-20250630.htm,utility_only,"andated congestion charge gaap accounting principles generally accepted in the united states of america gsep gas system enhancement program i gwh gigawatt-hours ipp independent power producers iso-ne tariff iso-ne ferc transmission, markets and services tariff kv kilovolt kva kilovolt-ampere kw kilowatt (equal to one thousand watts) kwh kilowatt-hours lng liquefied natural gas lpg liquefied petroleum ga",
Eversource Energy,ES,72741,Utilities,10-Q,2025-11-06,2025-09-30,0001628280-25-050033,0001628280-25-050033:es-20250930.htm,10-Q,https://www.sec.gov/Archives/edgar/data/72741/000162828025050033/0001628280-25-050033-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000162828025050033/es-20250930.htm,utility_only,"andated congestion charge gaap accounting principles generally accepted in the united states of america gsep gas system enhancement program i gwh gigawatt-hours ipp independent power producers iso-ne tariff iso-ne ferc transmission, markets and services tariff kv kilovolt kva kilovolt-ampere kw kilowatt (equal to one thousand watts) kwh kilowatt-hours lng liquefied natural gas lpg liquefied petroleum ga",
Eversource Energy,ES,72741,Utilities,10-Q,2025-05-05,2025-03-31,0000072741-25-000011,0000072741-25-000011:es-20250331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/72741/000007274125000011/0000072741-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274125000011/es-20250331.htm,utility_only,"andated congestion charge gaap accounting principles generally accepted in the united states of america gsep gas system enhancement program i gwh gigawatt-hours ipp independent power producers iso-ne tariff iso-ne ferc transmission, markets and services tariff kv kilovolt kva kilovolt-ampere kw kilowatt (equal to one thousand watts) kwh kilowatt-hours lng liquefied natural gas lpg liquefied petroleum ga",
Eversource Energy,ES,72741,Utilities,10-Q,2026-05-07,2026-03-31,0001628280-26-032278,0001628280-26-032278:es-20260331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/72741/000162828026032278/0001628280-26-032278-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000162828026032278/es-20260331.htm,utility_only,"andated congestion charge gaap accounting principles generally accepted in the united states of america gsep gas system enhancement program i gwh gigawatt-hours ipp independent power producers iso-ne tariff iso-ne ferc transmission, markets and services tariff kv kilovolt kva kilovolt-ampere kw kilowatt (equal to one thousand watts) kwh kilowatt-hours lng liquefied natural gas lpg liquefied petroleum ga",
Eversource Energy,ES,72741,Utilities,10-K,2026-02-17,2025-12-31,0001628280-26-008461,0001628280-26-008461:es-20251231.htm,10-K,https://www.sec.gov/Archives/edgar/data/72741/000162828026008461/0001628280-26-008461-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000162828026008461/es-20251231.htm,utility_only,"andated congestion charge gaap accounting principles generally accepted in the united states of america gsep gas system enhancement program i gwh gigawatt-hours ipp independent power producers iso-ne tariff iso-ne ferc transmission, markets and services tariff kv kilovolt kva kilovolt-ampere kw kilowatt (equal to one thousand watts) kwh kilowatt-hours lng liquefied natural gas lpg liquefied petroleum ga",
FirstEnergy,FE,1031296,Utilities,8-K,2026-05-20,2026-05-20,0001031296-26-000089,0001031296-26-000089:ex101-fe5x20x2026.htm,EX-10.1,https://www.sec.gov/Archives/edgar/data/1031296/000103129626000089/0001031296-26-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1031296/000103129626000089/ex101-fe5x20x2026.htm,utility_only,"21; means pjm interconnection l.l.c., a regional transmission organization, or any designated successor thereto. &#8220;pjm market rules&#8221; refers collectively to the pjm open access transmission tariff and the amended and restated pjm operating agreement, and all schedules, appendices, or exhibits attached thereto to each, on file with ferc as may be amended from time to time (or any successor tari",
